alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
?	-0.071	-0.035	-0.035	-0.008	-0.033	0.004	-0.044	-0.007	-0.033	0.001	-0.038	0.004	-0.022	0.021	-0.011	0.011	-0.013	-0.095	-0.079	-0.042	0.017	0.031	0.017	-0.003	0.056	0.071	0.043	-0.048	0.031	-0.001	-0.017	-0.048	-0.022	0.001	0.015	0.038	0.028	0.027	0.013	-0.001	-0.022	-0.001	0.018	-0.017	-0.017	-0.035	0.009	-0.283	-0.249	-0.283	-0.198	-0.095	-0.040	-0.056	0.103	-0.403	-0.425	-0.017	-0.143	-0.257	-0.131	-0.104	-0.087	0.017	-0.048	-0.074	-0.173	0.013	-0.052	?	-0.173	0.007	0.009	0.017	-0.093	-0.025	-0.181	-0.283
0.015	-0.008	-0.020	-0.003	-0.024	-0.008	-0.022	0.013	?	-0.018	?	-0.010	0.026	0.013	0.026	0.015	-0.013	-0.004	-0.080	-0.004	0.060	0.093	0.089	0.076	0.066	0.086	0.053	0.023	0.030	0.011	0.001	-0.022	-0.069	-0.059	-0.031	0.007	0.004	0.007	-0.013	0.007	-0.016	-0.053	-0.008	-0.063	-0.055	-0.061	-0.049	0.004	-0.224	-0.268	-0.308	-0.205	-0.097	0.075	-0.047	0.170	-0.377	-0.469	0.012	-0.128	-0.252	-0.160	-0.086	-0.046	0.016	-0.059	-0.077	-0.132	-0.003	-0.033	-0.061	-0.140	0.033	0.009	0.028	-0.024	-0.018	-0.148	-0.252
0.044	-0.060	0.013	0.013	0.028	-0.026	0.028	-0.011	0.034	0.007	0.040	-0.004	0.040	?	0.064	0.013	0.053	0.024	0.044	-0.001	0.033	0.077	0.084	0.092	-0.017	0.061	0.057	0.063	0.042	0.052	0.022	0.009	-0.020	0.025	0.037	0.051	0.054	0.052	0.058	0.038	0.048	0.027	0.050	0.021	0.033	0.024	0.024	0.004	-0.250	-0.250	-0.283	-0.165	-0.079	0.030	-0.030	0.191	-0.361	-0.375	-0.026	-0.096	-0.243	-0.194	-0.139	-0.105	0.081	0.009	-0.058	-0.148	-0.053	-0.050	-0.004	-0.184	0.019	0.038	0.012	-0.008	-0.020	-0.211	-0.335
0.017	-0.056	0.020	-0.043	0.033	0.032	0.044	-0.007	0.030	0.014	0.091	0.013	0.016	0.028	0.059	0.011	0.058	-0.020	-0.110	-0.034	-0.026	-0.005	0.072	-0.005	0.005	0.003	-0.003	0.007	-0.025	-0.026	-0.066	-0.061	-0.058	-0.031	0.003	0.014	0.042	0.023	0.014	0.016	-0.026	-0.020	0.009	-0.033	-0.036	-0.051	-0.053	-0.036	-0.167	-0.234	-0.248	-0.172	-0.071	0.058	-0.068	0.127	-0.378	-0.462	-0.023	-0.147	-0.248	-0.204	-0.081	-0.142	0.011	-0.049	-0.110	-0.172	-0.020	-0.058	-0.134	-0.209	0.039	0.030	0.024	-0.043	-0.039	-0.182	-0.256
0.038	0.004	-0.004	-0.004	0.009	-0.022	0.025	0.001	0.037	0.022	0.036	-0.004	0.037	-0.004	0.026	-0.005	0.028	0.007	-0.022	0.023	0.059	0.101	0.125	0.120	0.097	0.079	0.052	0.059	0.072	0.036	-0.001	0.004	-0.025	0.039	0.047	0.023	0.046	0.041	0.036	0.039	0.046	0.017	0.054	0.072	0.053	0.047	0.078	0.044	-0.221	-0.269	-0.239	-0.186	-0.074	0.065	0.023	0.176	-0.305	-0.350	-0.025	-0.176	-0.305	-0.233	-0.173	-0.146	0.038	0.091	-0.060	-0.146	-0.015	0.009	-0.022	-0.146	0.046	0.017	0.057	0.005	-0.001	-0.168	-0.305
0.052	-0.004	0.007	-0.015	-0.009	-0.037	0.028	0.007	0.059	0.015	0.045	-0.015	0.023	0.009	0.077	0.017	0.056	-0.011	-0.004	-0.001	0.038	0.085	0.088	0.085	0.103	0.063	0.029	0.015	0.032	0.029	-0.018	-0.021	0.001	0.056	0.091	0.098	0.096	0.072	0.076	0.108	0.087	0.071	0.092	0.012	-0.058	0.087	0.153	-0.001	-0.220	-0.267	-0.232	-0.162	-0.078	0.034	0.001	0.147	-0.336	-0.348	-0.031	-0.175	-0.314	-0.245	-0.153	-0.105	0.048	0.090	-0.060	-0.126	-0.015	-0.031	-0.033	-0.220	0.018	0.015	0.042	-0.025	0.012	-0.078	-0.226
-0.005	0.012	-0.027	0.008	-0.029	0.018	?	0.039	0.046	0.067	0.049	0.012	0.019	-0.005	0.038	0.056	0.031	0.036	-0.032	0.009	0.014	0.087	0.108	0.100	0.082	0.072	0.031	0.051	0.063	0.031	-0.016	0.008	0.014	0.052	0.074	0.085	0.075	0.079	0.060	0.066	0.068	0.051	0.068	0.097	0.067	0.048	0.075	0.012	-0.198	-0.249	-0.301	-0.183	-0.068	0.035	-0.060	0.129	-0.334	-0.359	-0.035	-0.222	-0.310	-0.216	-0.155	-0.093	0.056	0.073	-0.051	-0.087	-0.034	-0.035	-0.079	-0.183	0.029	0.018	0.046	-0.005	-0.020	-0.108	-0.256
0.018	-0.023	0.004	0.010	0.008	0.019	0.015	0.027	0.053	-0.001	0.053	-0.015	0.014	-0.035	0.068	0.015	0.082	0.010	-0.052	0.005	0.024	0.097	0.088	0.059	0.052	0.044	0.023	0.031	0.001	0.018	-0.044	-0.035	-0.018	0.034	0.075	0.053	0.070	0.075	0.070	0.064	0.067	0.024	0.049	0.037	0.059	0.039	0.085	-0.022	-0.195	-0.250	-0.290	-0.201	-0.104	0.019	-0.061	0.125	-0.299	-0.318	-0.054	-0.250	-0.330	-0.250	-0.157	-0.115	0.044	0.062	-0.104	-0.125	0.010	-0.026	-0.018	-0.175	0.034	0.001	0.026	0.004	0.005	-0.170	-0.281
0.011	-0.008	-0.026	0.003	-0.023	0.003	-0.025	0.042	0.045	-0.010	0.057	-0.011	0.023	0.008	0.038	0.036	0.008	-0.011	-0.055	-0.001	0.066	0.077	0.082	0.095	0.092	0.066	0.045	0.023	0.058	0.003	-0.026	-0.010	-0.014	0.020	0.043	0.032	0.032	0.038	0.045	0.034	0.050	0.005	0.034	0.049	0.034	0.001	0.066	0.037	-0.191	-0.247	-0.240	-0.142	-0.049	0.050	-0.025	0.173	-0.376	-0.460	-0.031	-0.142	-0.290	-0.197	-0.138	-0.138	0.044	0.054	-0.048	-0.113	-0.023	-0.017	-0.117	-0.181	0.048	-0.010	0.032	-0.010	-0.038	-0.186	-0.255
0.001	-0.092	-0.008	-0.019	-0.005	0.022	-0.008	-0.034	0.019	?	0.052	-0.040	0.010	-0.040	0.052	-0.023	0.001	-0.030	-0.137	-0.062	-0.021	0.001	0.019	0.001	0.016	0.005	0.001	?	-0.037	-0.008	-0.030	-0.070	-0.019	0.010	0.040	0.033	0.038	0.041	0.029	0.025	0.031	-0.004	0.034	0.063	0.029	0.016	0.036	0.021	-0.157	-0.225	-0.225	-0.177	-0.092	0.077	-0.005	0.097	-0.318	-0.329	-0.097	-0.214	-0.329	-0.266	-0.162	-0.219	0.025	0.045	-0.077	-0.137	-0.049	-0.133	-0.118	-0.274	0.014	0.001	0.058	0.019	0.014	-0.137	-0.274
0.033	-0.022	-0.013	-0.023	-0.009	-0.022	0.021	0.014	0.039	0.020	0.034	-0.022	0.009	?	0.067	0.001	0.065	-0.004	-0.097	-0.016	0.020	0.051	0.067	0.038	0.044	0.057	0.013	-0.012	0.008	0.026	-0.026	-0.052	-0.023	0.033	0.059	0.034	0.059	0.059	0.048	0.047	0.048	?	0.039	0.020	0.038	0.037	0.069	0.050	-0.150	-0.233	-0.214	-0.163	-0.097	0.068	-0.001	0.120	-0.322	-0.303	-0.083	-0.186	-0.344	-0.261	-0.150	-0.192	0.047	0.037	-0.064	-0.134	-0.029	-0.116	-0.177	-0.344	0.055	0.048	0.051	0.025	0.038	-0.142	-0.209
0.016	-0.046	-0.010	-0.026	0.007	0.016	0.012	-0.021	0.057	-0.010	0.061	-0.021	0.006	?	0.059	0.020	0.052	-0.021	-0.078	-0.021	0.006	0.055	0.062	0.015	0.024	0.032	0.021	-0.016	-0.003	-0.006	-0.038	-0.048	-0.031	0.013	0.039	0.026	0.051	0.071	0.060	0.048	0.034	0.030	0.053	0.007	0.068	0.041	0.060	-0.006	-0.174	-0.246	-0.238	-0.144	-0.059	0.042	0.001	0.162	-0.290	-0.324	-0.089	-0.160	-0.301	-0.261	-0.156	-0.271	0.051	0.055	-0.073	-0.151	-0.011	-0.091	-0.151	-0.261	0.021	0.012	0.006	-0.031	-0.029	-0.195	-0.279
0.006	-0.016	-0.022	-0.007	-0.009	-0.022	0.010	0.014	0.010	0.004	0.012	-0.017	0.018	-0.035	0.047	-0.012	0.051	0.003	-0.043	-0.014	0.014	0.004	0.070	0.087	0.057	0.037	0.028	0.018	0.024	0.010	-0.047	-0.021	-0.006	0.031	0.066	0.057	0.050	0.051	0.043	0.043	0.040	0.030	0.042	-0.033	0.053	0.036	0.046	-0.010	-0.211	-0.265	-0.265	-0.199	-0.073	0.048	-0.041	0.156	-0.371	-0.371	-0.071	-0.168	-0.307	-0.255	-0.121	-0.173	0.069	0.047	-0.047	-0.125	-0.058	-0.073	-0.111	-0.199	0.020	0.020	0.038	0.001	-0.003	-0.155	-0.239
0.017	-0.054	-0.030	-0.021	?	-0.027	0.011	-0.025	0.014	-0.014	0.018	-0.018	0.014	-0.021	0.041	-0.004	0.010	?	-0.085	-0.020	-0.006	0.026	0.038	0.041	0.006	0.018	0.004	-0.004	0.013	0.006	-0.031	-0.050	-0.028	0.013	0.046	0.042	0.047	0.047	0.054	0.034	0.044	0.006	0.038	0.004	0.041	0.036	0.047	-0.009	-0.201	-0.262	-0.271	-0.185	-0.059	0.036	-0.055	0.153	-0.355	-0.428	-0.066	-0.174	-0.320	-0.244	-0.122	-0.148	0.054	0.050	-0.070	-0.132	-0.052	-0.136	-0.095	-0.244	0.007	0.006	0.014	-0.023	0.001	-0.059	-0.201
0.049	0.006	0.011	0.008	-0.007	-0.019	0.019	0.026	0.053	0.003	0.058	0.015	0.026	0.022	0.069	0.019	0.067	-0.006	-0.023	0.007	0.040	0.094	0.112	0.071	0.084	0.066	0.019	-0.013	0.020	0.020	-0.023	-0.036	-0.036	-0.007	0.035	0.040	0.049	0.061	0.048	0.030	0.034	0.036	0.046	0.043	0.021	0.046	0.064	-0.006	-0.218	-0.262	-0.254	-0.169	-0.080	0.059	0.008	0.144	-0.324	-0.352	-0.048	-0.160	-0.337	-0.254	-0.156	-0.156	0.048	0.060	-0.080	-0.144	-0.057	-0.073	-0.137	-0.246	0.003	?	0.004	-0.015	?	-0.071	-0.246
0.027	-0.003	?	0.022	0.007	-0.020	0.017	0.037	0.036	0.008	0.047	-0.016	0.029	-0.017	0.078	-0.011	0.072	-0.011	-0.033	-0.028	0.027	0.043	0.062	0.035	0.050	0.018	-0.003	-0.040	0.009	-0.025	-0.055	-0.057	-0.010	0.033	0.065	0.047	0.064	0.097	0.094	0.058	0.059	0.033	0.075	0.089	0.048	0.057	0.075	-0.077	-0.251	-0.294	-0.223	-0.188	-0.075	-0.028	-0.003	0.091	-0.328	-0.370	-0.026	-0.147	-0.285	-0.230	-0.103	-0.178	0.065	0.016	-0.050	-0.128	-0.004	-0.025	-0.096	-0.230	0.004	0.001	0.013	0.003	-0.033	-0.174	-0.285
0.048	0.001	0.014	0.014	0.041	0.063	0.030	0.008	0.015	0.020	0.049	-0.021	0.026	0.001	0.081	0.005	0.088	-0.023	-0.133	-0.011	0.015	0.049	0.089	0.074	0.068	0.096	0.025	0.005	-0.015	0.018	-0.025	-0.005	-0.050	-0.021	0.009	0.033	0.055	0.050	0.036	0.040	0.004	-0.013	0.029	-0.061	-0.031	-0.038	-0.028	-0.018	-0.161	-0.243	-0.224	-0.144	-0.054	0.035	0.001	0.126	-0.355	-0.415	-0.034	-0.156	-0.320	-0.218	-0.089	-0.184	0.053	-0.019	-0.078	-0.165	0.005	-0.038	-0.086	-0.273	0.020	0.009	0.019	-0.008	-0.034	-0.133	-0.265
0.001	0.004	-0.001	0.023	0.014	0.043	-0.029	0.061	0.042	-0.011	0.075	-0.008	0.019	0.008	0.077	0.037	0.073	-0.073	-0.093	-0.064	0.024	0.087	0.111	0.056	0.066	0.030	-0.038	-0.023	-0.005	-0.043	-0.085	-0.054	-0.045	-0.001	-0.011	-0.034	-0.059	-0.037	-0.008	0.045	-0.023	-0.051	-0.029	0.109	0.018	-0.023	0.008	0.020	-0.202	-0.268	-0.293	-0.163	-0.045	0.083	-0.019	0.211	-0.323	-0.346	-0.015	-0.197	-0.312	-0.197	-0.126	-0.102	0.056	0.019	-0.073	-0.126	0.025	-0.018	-0.093	-0.232	0.042	-0.018	0.009	-0.038	-0.045	-0.167	-0.239
-0.066	-0.008	-0.111	-0.012	-0.102	0.001	-0.072	-0.001	-0.026	0.018	-0.041	-0.032	?	-0.039	-0.019	-0.013	-0.008	?	-0.114	0.005	?	0.008	0.054	0.073	0.053	0.010	-0.015	-0.005	0.063	-0.058	-0.058	-0.069	-0.030	-0.008	0.010	0.044	0.018	0.018	?	0.004	0.008	-0.026	0.009	?	-0.028	-0.044	-0.009	-0.001	-0.206	-0.170	-0.230	-0.111	-0.051	-0.039	-0.030	0.143	-0.352	-0.378	-0.039	-0.217	-0.273	-0.206	-0.125	-0.108	0.001	0.027	-0.075	-0.129	-0.072	-0.028	-0.170	-0.224	-0.008	-0.063	-0.054	-0.082	-0.091	-0.250	-0.318
-0.032	0.025	-0.076	-0.004	-0.087	0.015	-0.032	0.027	-0.008	0.034	-0.020	-0.024	0.010	-0.020	-0.008	0.006	0.017	-0.001	-0.051	0.021	0.039	0.039	0.082	0.052	0.039	0.020	-0.021	-0.014	0.023	-0.053	-0.056	-0.061	-0.069	-0.035	-0.014	-0.014	-0.042	0.006	0.014	0.023	0.039	-0.032	0.004	0.137	-0.028	-0.028	0.030	0.020	-0.172	-0.213	-0.266	-0.104	-0.066	0.075	0.014	0.131	-0.360	-0.431	-0.031	-0.225	-0.238	-0.197	-0.176	-0.094	0.006	0.052	-0.097	-0.118	-0.082	-0.021	-0.153	-0.238	-0.004	-0.028	-0.031	-0.041	-0.051	-0.172	-0.290
-0.053	-0.027	-0.047	-0.029	-0.110	-0.026	-0.079	-0.029	0.005	0.012	0.027	-0.023	?	-0.038	0.001	0.022	0.019	0.005	-0.066	0.016	0.018	0.067	0.073	0.083	0.079	0.110	0.049	0.049	0.036	0.013	0.013	0.038	-0.027	0.023	0.018	-0.001	-0.008	?	?	?	-0.001	-0.011	0.001	0.107	-0.005	-0.038	-0.018	0.025	-0.193	-0.204	-0.290	-0.188	-0.114	0.028	-0.047	0.134	-0.373	-0.373	-0.055	-0.228	-0.264	-0.216	-0.155	-0.124	0.014	0.008	-0.070	-0.135	-0.075	0.048	-0.143	-0.164	0.022	0.001	-0.014	-0.042	-0.055	-0.204	-0.242
0.021	?	-0.013	0.023	-0.014	0.025	-0.032	0.028	0.021	-0.020	0.048	0.006	0.032	0.034	0.041	0.044	0.025	0.025	-0.060	0.021	0.082	0.124	0.059	0.098	0.072	0.030	0.006	0.056	0.069	-0.001	?	-0.028	-0.059	-0.028	-0.001	0.025	0.032	0.020	0.027	0.027	0.006	-0.031	0.028	-0.010	-0.014	-0.031	0.014	?	-0.207	-0.281	-0.290	-0.181	-0.104	-0.001	-0.024	0.180	-0.273	-0.347	0.001	-0.225	-0.338	-0.219	-0.141	-0.149	0.034	0.032	-0.094	-0.145	0.028	-0.041	-0.090	-0.145	-0.001	-0.032	-0.020	-0.097	-0.063	-0.231	-0.238
0.034	-0.034	-0.025	-0.020	-0.006	-0.001	0.023	0.004	0.042	-0.013	0.028	-0.025	0.029	-0.006	0.026	-0.009	0.023	0.001	-0.137	-0.034	0.026	0.042	0.074	0.061	0.035	0.028	0.026	0.001	0.006	-0.018	-0.034	-0.061	-0.025	0.006	0.018	-0.010	-0.009	0.006	0.015	-0.001	0.010	-0.061	-0.015	-0.034	-0.025	-0.066	0.004	-0.029	-0.155	-0.228	-0.261	-0.159	-0.072	0.047	-0.034	0.152	-0.374	-0.464	-0.018	-0.221	-0.301	-0.150	-0.137	-0.085	0.012	-0.020	-0.115	-0.146	0.006	0.044	-0.072	-0.234	0.023	-0.020	0.056	-0.053	-0.044	-0.221	-0.199
-0.029	-0.056	-0.056	-0.069	-0.040	-0.072	-0.004	0.001	-0.029	-0.021	-0.056	-0.085	-0.010	-0.075	0.022	-0.062	0.054	-0.050	-0.062	-0.009	0.026	0.072	0.060	0.056	0.047	0.044	0.038	-0.009	0.035	-0.009	-0.022	-0.029	-0.063	-0.094	-0.029	0.009	0.028	?	-0.021	0.001	-0.004	-0.042	0.023	-0.009	-0.047	-0.063	-0.009	-0.029	-0.255	-0.255	-0.240	-0.146	-0.053	-0.066	?	0.098	-0.401	-0.416	-0.032	-0.205	-0.248	-0.189	-0.066	-0.072	0.021	-0.018	-0.091	-0.123	-0.032	-0.040	-0.098	-0.183	0.064	0.016	0.035	-0.034	-0.022	-0.215	-0.269
-0.021	-0.018	-0.062	-0.028	?	-0.035	-0.030	-0.048	-0.017	0.018	-0.035	-0.017	-0.015	-0.024	-0.007	-0.046	-0.015	-0.005	-0.117	-0.005	0.008	0.039	0.050	0.077	0.052	0.071	0.017	0.023	0.034	?	-0.035	-0.008	0.015	-0.059	-0.059	-0.075	-0.121	-0.033	-0.008	-0.036	-0.028	-0.008	-0.065	0.036	0.083	0.051	0.068	0.005	-0.198	?	-0.309	-0.160	-0.092	0.091	-0.057	0.110	-0.384	-0.299	-0.059	-0.204	-0.290	-0.210	-0.151	-0.164	0.031	0.034	-0.092	-0.156	-0.054	-0.022	-0.132	-0.234	0.029	-0.001	0.031	-0.051	-0.054	-0.182	-0.309
0.020	-0.045	0.001	-0.055	?	0.013	0.020	0.010	0.038	-0.004	0.051	0.001	0.016	0.010	0.043	0.004	0.066	-0.024	-0.155	-0.030	-0.004	0.038	0.055	0.037	0.028	0.034	0.009	-0.012	0.001	-0.016	-0.018	-0.020	-0.001	0.031	0.037	-0.018	-0.022	0.005	0.009	0.025	-0.004	-0.056	-0.005	0.060	-0.050	-0.033	-0.030	-0.001	-0.204	-0.295	-0.304	-0.155	-0.055	0.018	-0.045	0.168	-0.222	-0.435	-0.047	-0.262	-0.262	-0.204	-0.135	-0.147	0.024	0.013	-0.081	-0.050	-0.009	-0.059	-0.131	-0.228	0.050	0.024	0.024	-0.071	-0.020	-0.187	-0.262
-0.006	-0.074	-0.050	-0.067	-0.015	-0.032	0.012	-0.046	?	-0.041	0.006	-0.069	0.009	-0.050	0.035	-0.069	-0.001	-0.058	-0.117	-0.016	-0.015	-0.024	0.008	0.009	-0.004	?	-0.021	-0.021	-0.011	-0.024	-0.045	-0.058	0.021	-0.004	0.012	-0.045	-0.058	-0.045	0.057	0.067	-0.043	-0.158	-0.045	?	-0.101	0.023	-0.041	-0.034	-0.172	-0.249	-0.138	-0.114	-0.069	0.056	0.040	0.133	-0.328	-0.372	-0.085	-0.215	-0.275	-0.249	-0.131	-0.176	0.003	-0.045	-0.111	-0.153	-0.041	-0.067	-0.092	-0.208	0.013	-0.003	-0.034	-0.053	-0.043	-0.234	-0.305
0.015	-0.037	0.001	-0.005	0.031	-0.044	0.009	0.014	0.004	0.009	0.026	-0.035	-0.004	-0.032	0.048	-0.008	0.054	-0.023	-0.091	-0.044	0.023	0.040	0.049	0.008	0.026	0.036	0.013	-0.005	-0.030	-0.026	-0.039	-0.046	0.026	-0.005	0.014	-0.054	-0.069	-0.054	0.068	0.080	-0.051	-0.189	-0.054	?	-0.121	0.027	-0.049	-0.049	-0.152	-0.250	-0.243	-0.152	-0.077	0.015	-0.030	0.099	-0.329	-0.409	-0.030	-0.224	-0.273	-0.224	-0.115	-0.152	0.014	0.024	-0.115	-0.140	0.004	-0.019	-0.089	-0.243	-0.044	-0.049	-0.046	-0.072	-0.041	-0.166	-0.257
?	-0.087	-0.005	-0.029	0.028	-0.068	-0.011	-0.023	0.021	-0.018	0.068	-0.051	0.004	-0.047	0.039	-0.011	0.043	-0.016	-0.152	-0.099	-0.034	0.036	0.019	-0.058	-0.038	-0.011	-0.011	-0.021	-0.053	-0.038	-0.040	-0.073	-0.035	-0.016	0.018	0.028	0.039	0.042	0.022	0.039	0.014	-0.004	0.028	-0.058	0.013	-0.004	0.029	-0.034	-0.152	-0.242	-0.282	-0.168	-0.083	0.090	-0.042	0.132	-0.322	-0.374	-0.075	-0.228	-0.310	-0.155	-0.164	-0.183	0.012	0.005	-0.087	-0.188	-0.008	-0.101	-0.108	-0.256	?	-0.004	0.068	-0.038	-0.012	-0.128	-0.216
0.004	-0.037	-0.016	-0.061	-0.019	-0.061	0.024	-0.046	0.001	-0.016	0.016	-0.027	0.005	-0.039	0.027	-0.020	0.031	-0.023	-0.096	-0.052	0.015	0.118	0.126	0.081	0.052	0.057	0.058	0.062	0.029	0.052	0.015	0.010	-0.005	0.005	0.035	0.042	0.072	0.077	0.069	0.071	0.058	0.016	0.060	0.106	0.046	0.031	0.049	-0.016	-0.217	-0.205	-0.205	-0.148	-0.107	0.019	-0.016	0.105	-0.326	-0.335	-0.079	-0.257	-0.386	-0.212	-0.076	-0.128	0.056	-0.016	-0.087	-0.125	-0.041	-0.052	-0.058	-0.170	0.005	-0.049	-0.019	-0.054	-0.030	-0.096	-0.326
-0.038	-0.035	-0.099	-0.056	-0.068	-0.056	-0.006	-0.047	-0.035	0.008	-0.050	-0.063	-0.008	-0.056	-0.025	-0.050	-0.014	-0.025	-0.093	-0.017	-0.014	0.042	0.068	0.068	0.078	0.077	0.022	0.047	0.097	0.004	-0.021	0.011	-0.032	-0.001	0.025	0.028	0.078	0.045	0.046	0.089	0.042	-0.004	0.040	0.042	0.017	-0.006	0.082	-0.024	-0.170	-0.223	-0.263	-0.156	-0.071	0.057	-0.050	0.171	-0.409	-0.396	-0.017	-0.148	-0.279	-0.189	-0.135	-0.096	-0.038	0.010	-0.081	-0.103	-0.078	-0.010	-0.156	-0.256	0.019	-0.010	-0.006	-0.014	-0.042	-0.050	-0.249
0.025	?	0.001	0.013	-0.010	0.012	0.013	0.020	0.009	-0.015	0.013	-0.028	0.021	-0.017	0.064	-0.019	-0.032	-0.013	-0.074	0.013	0.043	0.017	0.067	0.069	0.055	0.053	0.015	0.009	0.026	0.007	-0.047	-0.008	0.047	0.004	-0.033	-0.084	-0.074	-0.062	0.023	0.183	-0.003	-0.098	-0.025	0.037	-0.154	-0.052	-0.078	-0.010	-0.166	-0.255	-0.233	-0.154	-0.081	0.068	-0.028	0.139	-0.337	-0.447	-0.028	-0.197	-0.324	-0.214	-0.134	-0.117	0.051	0.044	-0.076	-0.142	-0.015	-0.010	-0.033	-0.138	0.033	0.026	0.036	-0.015	-0.024	-0.162	-0.220
0.023	0.015	0.008	0.004	0.001	0.025	-0.008	0.040	0.019	-0.023	0.040	-0.026	0.008	0.014	0.062	0.030	0.004	-0.019	-0.055	0.018	0.088	0.117	0.123	0.086	0.084	0.064	0.026	0.036	0.008	0.014	-0.026	-0.018	-0.015	0.009	0.040	0.032	0.032	0.040	0.039	0.049	0.043	-0.012	0.026	0.129	0.032	0.005	0.030	0.026	-0.170	-0.266	-0.281	-0.195	-0.054	0.071	-0.035	0.152	-0.379	-0.410	0.001	-0.175	-0.281	-0.218	-0.133	-0.098	0.066	-0.009	-0.072	-0.108	0.036	0.004	-0.019	-0.095	0.085	0.041	0.048	0.005	0.014	-0.148	-0.290
0.082	0.020	0.031	0.020	0.050	0.009	0.057	0.049	0.072	0.066	0.050	0.039	0.057	0.068	0.078	0.054	0.096	0.052	-0.057	0.019	0.069	0.178	0.134	0.120	0.139	0.127	0.092	0.073	0.035	0.060	0.009	0.042	-0.084	-0.059	-0.011	0.009	0.060	0.081	0.066	0.049	0.029	0.026	0.045	0.018	0.015	0.004	-0.005	-0.013	-0.176	-0.238	-0.260	-0.185	-0.078	0.067	-0.059	0.066	-0.275	-0.386	0.038	-0.157	-0.283	-0.252	-0.108	-0.093	0.073	-0.038	-0.054	-0.122	0.083	0.030	0.033	-0.130	0.014	0.019	0.055	-0.013	-0.029	-0.190	-0.260
0.060	0.010	0.029	0.006	0.029	-0.004	0.029	0.025	0.057	0.056	0.052	0.021	0.057	0.045	0.067	0.036	0.108	0.043	0.001	0.069	0.050	0.144	0.168	0.111	0.111	0.070	0.070	0.032	0.095	0.035	0.014	0.017	-0.048	-0.024	0.021	0.029	0.063	0.042	0.060	0.041	0.008	0.006	0.032	0.046	0.020	?	0.032	-0.031	-0.230	-0.243	-0.288	-0.200	-0.132	0.001	-0.063	0.081	-0.346	-0.346	-0.014	-0.181	-0.237	-0.190	-0.106	-0.084	0.046	0.035	-0.104	-0.161	0.055	0.008	0.020	-0.104	0.029	0.027	0.008	-0.020	-0.042	-0.211	-0.297
0.054	0.050	0.010	0.047	0.008	0.036	-0.011	0.057	0.055	-0.015	0.067	0.019	0.054	0.045	0.073	0.048	0.038	0.019	-0.034	0.005	0.103	0.124	0.104	0.117	0.104	0.079	0.024	0.068	0.050	0.009	-0.019	0.005	-0.043	-0.034	-0.013	0.008	-0.031	0.025	0.024	0.009	-0.008	-0.050	-0.034	0.039	-0.068	-0.038	-0.073	-0.004	-0.201	-0.244	-0.251	-0.171	-0.045	0.018	-0.018	0.209	-0.385	-0.417	0.031	-0.122	-0.311	-0.176	-0.096	-0.064	0.104	-0.096	-0.043	-0.106	0.047	0.014	-0.038	-0.102	0.026	0.050	0.089	0.013	-0.021	-0.162	-0.251
0.050	0.017	0.052	0.019	0.042	0.001	0.039	0.014	0.037	0.032	0.022	-0.007	0.047	0.001	0.047	-0.012	0.069	0.015	-0.070	-0.042	0.014	0.090	0.096	0.113	0.017	0.056	0.026	0.049	0.046	0.015	-0.047	-0.029	-0.072	-0.054	-0.017	0.015	0.057	0.061	0.052	0.039	-0.004	-0.001	0.025	-0.088	-0.050	-0.054	-0.047	-0.027	-0.223	-0.223	-0.229	-0.174	-0.059	-0.025	-0.012	0.128	-0.329	-0.354	0.007	-0.121	-0.354	-0.249	-0.125	-0.115	0.100	-0.086	-0.072	-0.128	-0.007	0.022	-0.080	-0.139	0.005	-0.001	0.049	-0.045	-0.005	-0.199	-0.341
-0.013	0.006	-0.021	0.021	-0.050	0.034	-0.029	0.028	0.031	0.055	0.041	0.009	0.030	0.017	0.048	0.045	0.035	0.032	-0.074	0.058	-0.004	0.062	0.092	0.114	0.101	0.098	0.056	0.065	0.062	0.023	0.025	0.026	-0.053	-0.006	-0.027	-0.039	-0.053	-0.029	-0.050	0.057	0.004	-0.039	0.008	0.026	-0.192	-0.053	-0.110	0.032	-0.197	-0.214	-0.274	-0.172	-0.090	0.001	-0.039	0.138	-0.372	-0.412	-0.001	-0.146	-0.257	-0.181	-0.101	-0.138	0.051	-0.018	-0.053	-0.120	-0.001	0.057	-0.131	-0.146	0.021	0.011	0.035	-0.034	-0.050	-0.176	-0.265
